ProcessID	Data (Bytes)	Times Seconds
8842	255	0.000192
9438	255	0.000214
8587	255	0.000233
9462	255	0.000258
9622	255	0.000268
8750	255	0.00031
8596	255	0.000371
8588	255	0.000383
8594	255	0.000471
8592	255	0.000541
8632	255	0.000641
8595	255	0.000673
8613	255	0.000675
9470	255	0.000681
8603	255	0.000794
8593	255	0.00084
8633	255	0.000909
8615	255	0.001013
8980	255	0.001121
8609	255	0.001173
9488	255	0.001238
8589	255	0.001388
8797	255	0.001437
8612	255	0.001521
8839	255	0.001579
8591	255	0.001669
8611	255	0.00175
8598	255	0.001874
8590	255	0.001881
9013	255	0.001988
8597	255	0.003964
8634	255	0.005361
8635	255	0.010151
8638	255	0.011575
8608	255	0.013212
8606	255	0.013655
8605	255	0.015851
8646	255	0.029012
9154	255	0.078896
9132	255	0.07897
9148	255	0.079783
8637	255	0.080687
9184	255	0.086219
9192	255	0.088179
9617	255	0.088496
9599	255	0.088518
8968	255	0.088693
9020	255	0.089149
8636	255	0.091101
9807	255	0.092358
9846	255	0.093015
9837	255	0.093131
9839	255	0.093245
9490	255	0.093273
9841	255	0.093295
9845	255	0.093367
9499	255	0.093465
9854	255	0.0935
9434	255	0.093526
9864	255	0.093846
9548	255	0.094115
8607	255	0.094342
9914	255	0.097356
9915	255	0.097424
9969	255	0.097731
9943	255	0.097969
10233	255	0.107903
10240	255	0.109918
10296	255	0.110838
10281	255	0.113192
9450	255	0.120821
9477	255	0.121273
9480	255	0.121337
9484	255	0.121469
9486	255	0.121515
9492	255	0.121628
9495	255	0.12168
9504	255	0.122024
9521	255	0.122511
9522	255	0.122682
9557	255	0.123447
9587	255	0.124314
9104	255	0.125916
9753	255	0.133202
9982	255	0.134307
9979	255	0.134348
9960	255	0.13482
9926	255	0.134848
10054	255	0.140581
10418	255	0.14117
10061	255	0.14182
10065	255	0.1426
10143	255	0.14488
10148	255	0.145006
8996	255	0.153439
9136	255	0.153803
9320	255	0.155013
9230	255	0.155081
9140	255	0.155099
9161	255	0.155222
9519	255	0.159196
9273	255	0.160085
9280	255	0.160781
10293	255	0.1647
10242	255	0.164733
10402	255	0.165848
10434	255	0.166377
10420	255	0.166548
10347	255	0.168861
10449	255	0.169068
10394	255	0.171361
10451	255	0.173577
10194	255	0.173701
10208	255	0.174135
10413	255	0.174599
10435	255	0.174776
10486	255	0.17501
10279	255	0.175043
10152	255	0.175575
10172	255	0.175784
10158	255	0.175873
10159	255	0.176079
10187	255	0.176282
9270	255	0.179966
9990	255	0.18012
9289	255	0.180166
9313	255	0.181935
9316	255	0.182073
9318	255	0.182201
10209	255	0.182208
10230	255	0.182295
10214	255	0.182326
10232	255	0.182434
10219	255	0.182459
9325	255	0.182465
10221	255	0.182513
10226	255	0.182588
10241	255	0.182635
10224	255	0.182648
10237	255	0.182758
8821	255	0.182821
10257	255	0.182846
10255	255	0.182955
10239	255	0.18302
9750	255	0.183671
9758	255	0.18405
9051	255	0.184434
9109	255	0.184721
9110	255	0.184722
10244	255	0.184973
10266	255	0.184982
10245	255	0.185007
10271	255	0.185059
10243	255	0.185091
10249	255	0.185102
10254	255	0.185168
10274	255	0.185221
10256	255	0.185266
10280	255	0.18527
10283	255	0.185293
8878	255	0.18532
10263	255	0.185363
10269	255	0.185395
10262	255	0.185406
10260	255	0.185433
10247	255	0.185512
8813	255	0.185538
10267	255	0.185546
10270	255	0.185598
10278	255	0.185753
10648	255	0.186645
10696	255	0.186649
9884	255	0.188094
9887	255	0.188127
9935	255	0.188842
9934	255	0.188902
9937	255	0.188929
9977	255	0.18974
9970	255	0.190116
9972	255	0.190213
9976	255	0.190253
10557	255	0.197502
10594	255	0.197624
10551	255	0.197881
10592	255	0.198059
10545	255	0.19831
10532	255	0.19851
10564	255	0.198556
10548	255	0.198863
10535	255	0.199032
10546	255	0.199319
10560	255	0.199465
10544	255	0.200482
9134	255	0.206664
9133	255	0.206803
8897	255	0.208734
8918	255	0.20937
9436	255	0.210468
9437	255	0.210619
9395	255	0.211517
10305	255	0.211946
10329	255	0.212009
10343	255	0.212091
10115	255	0.212334
10338	255	0.212437
8977	255	0.212442
10047	255	0.212538
10120	255	0.21263
10048	255	0.212769
10079	255	0.213107
9008	255	0.213129
10125	255	0.213222
10055	255	0.213348
9040	255	0.213385
9372	255	0.213441
10074	255	0.213444
9361	255	0.213503
10073	255	0.213503
9422	255	0.213547
9426	255	0.213591
9017	255	0.213615
10056	255	0.213654
9468	255	0.213971
10057	255	0.214
10715	255	0.214058
9485	255	0.21412
10058	255	0.214145
10722	255	0.21415
9444	255	0.21419
10725	255	0.214206
10727	255	0.21431
9445	255	0.214317
9510	255	0.214457
9539	255	0.214521
10068	255	0.214708
9549	255	0.214729
9542	255	0.214808
9560	255	0.214846
9558	255	0.214861
10756	255	0.214917
9570	255	0.214962
10759	255	0.214976
10069	255	0.215009
9572	255	0.215022
10770	255	0.215042
10361	255	0.215047
10066	255	0.215055
10760	255	0.215092
10763	255	0.215149
10139	255	0.21516
10752	255	0.215273
10062	255	0.215284
10131	255	0.215284
10762	255	0.215381
10134	255	0.2154
10753	255	0.215417
10136	255	0.215429
10742	255	0.215469
10133	255	0.215485
10769	255	0.215548
10147	255	0.215586
10063	255	0.2157
8841	255	0.215747
8823	255	0.215805
10788	255	0.21593
8852	255	0.216092
8882	255	0.216148
8843	255	0.216358
10772	255	0.216376
10138	255	0.216386
10155	255	0.216534
10744	255	0.216541
10732	255	0.216559
10395	255	0.216608
8851	255	0.216622
10142	255	0.216636
10682	255	0.216704
10421	255	0.216744
10720	255	0.216779
10145	255	0.216892
8844	255	0.217209
8787	255	0.217494
8850	255	0.217498
10200	255	0.21795
10202	255	0.21796
10189	255	0.217976
8817	255	0.218149
10229	255	0.218956
10231	255	0.218977
9615	255	0.221241
9705	255	0.221481
9749	255	0.221633
9706	255	0.223451
9708	255	0.22364
9666	255	0.223829
9738	255	0.224705
9672	255	0.224857
9920	255	0.226042
9918	255	0.226054
9936	255	0.226581
9931	255	0.226653
8648	255	0.227117
9940	255	0.227188
9158	255	0.230828
9169	255	0.232723
8641	255	0.236734
9171	255	0.238791
9167	255	0.238841
9181	255	0.239219
9180	255	0.239269
10261	255	0.23928
10246	255	0.239472
10264	255	0.239477
10312	255	0.239742
9190	255	0.239746
9194	255	0.239762
9199	255	0.239827
10289	255	0.239906
10258	255	0.239917
10288	255	0.239927
10298	255	0.239948
10291	255	0.239972
10284	255	0.239995
10292	255	0.240082
9213	255	0.240244
10282	255	0.240322
9214	255	0.24038
9221	255	0.24048
9117	255	0.240619
8967	255	0.241027
10429	255	0.241836
10432	255	0.242198
10407	255	0.242213
10443	255	0.242389
10424	255	0.242407
10422	255	0.242817
9248	255	0.243094
9259	255	0.243199
9255	255	0.243403
10425	255	0.243609
10441	255	0.244458
10437	255	0.244461
10447	255	0.244573
10890	255	0.244877
10458	255	0.244897
10512	255	0.245058
10837	255	0.245171
10462	255	0.245362
10848	255	0.245775
10569	255	0.246036
10397	255	0.246094
10455	255	0.2466
10146	255	0.247065
8602	255	0.247503
10164	255	0.247771
10150	255	0.247783
10153	255	0.247857
10170	255	0.247963
10163	255	0.248301
10165	255	0.248318
10181	255	0.248401
10178	255	0.248407
10183	255	0.248509
10171	255	0.248593
10169	255	0.248603
10173	255	0.248677
10185	255	0.248693
10175	255	0.248733
10179	255	0.248837
10180	255	0.248942
8601	255	0.249016
10182	255	0.249017
10188	255	0.249084
10190	255	0.249173
10002	255	0.249262
10192	255	0.249268
10195	255	0.249345
10212	255	0.249364
10294	255	0.249458
8630	255	0.249496
10295	255	0.249542
10203	255	0.249544
10276	255	0.249552
10218	255	0.249572
10297	255	0.249575
10228	255	0.249642
10220	255	0.249644
10238	255	0.249647
10234	255	0.24972
10310	255	0.249738
10211	255	0.249751
10236	255	0.249777
10235	255	0.249796
10482	255	0.250117
10412	255	0.250789
10487	255	0.250964
10470	255	0.251006
10488	255	0.251047
10463	255	0.251145
10439	255	0.25116
10491	255	0.251319
10480	255	0.251386
9126	255	0.254515
9131	255	0.254592
9129	255	0.25475
10479	255	0.271737
10514	255	0.271888
10499	255	0.271916
9927	255	0.271996
9911	255	0.27206
9956	255	0.272121
9944	255	0.272177
9905	255	0.272231
10478	255	0.272398
10527	255	0.272429
10599	255	0.27255
10528	255	0.272578
10530	255	0.272653
9958	255	0.272893
10526	255	0.272985
9959	255	0.273023
9953	255	0.27337
9964	255	0.273704
9999	255	0.27412
8772	255	0.274123
10531	255	0.274177
10121	255	0.274318
8774	255	0.274389
8845	255	0.274581
10543	255	0.274629
10909	255	0.274825
10583	255	0.275158
8801	255	0.275223
9563	255	0.275232
8840	255	0.275272
8692	255	0.275273
10554	255	0.275375
8763	255	0.275458
10573	255	0.275477
8693	255	0.275495
8618	255	0.275496
8799	255	0.275525
8837	255	0.275559
10565	255	0.275577
8716	255	0.27558
10915	255	0.275822
10606	255	0.275958
10948	255	0.276006
10954	255	0.276007
8846	255	0.27609
10553	255	0.276302
10608	255	0.276324
9589	255	0.276574
9591	255	0.276634
8677	255	0.276644
9598	255	0.276693
9595	255	0.276709
10939	255	0.276731
9600	255	0.276763
9593	255	0.276832
10610	255	0.27685
9603	255	0.276879
10541	255	0.27693
9115	255	0.276977
10604	255	0.277001
10965	255	0.277021
9114	255	0.277573
8771	255	0.277683
9424	255	0.278794
9112	255	0.279468
9481	255	0.279786
9483	255	0.27982
9527	255	0.279861
9482	255	0.279919
9562	255	0.280018
9529	255	0.280133
9588	255	0.280365
8865	255	0.280393
8934	255	0.280453
10674	255	0.281271
10669	255	0.281481
9875	255	0.281501
10677	255	0.281885
10689	255	0.282327
10686	255	0.282464
10699	255	0.282479
10704	255	0.282523
10694	255	0.282597
10703	255	0.282602
10645	255	0.282622
10695	255	0.282712
10646	255	0.282823
10698	255	0.283274
9016	255	0.300043
9623	255	0.30064
9726	255	0.301334
9743	255	0.301396
8667	255	0.302728
8973	255	0.303243
10934	255	0.303309
9756	255	0.3034
9768	255	0.303434
9771	255	0.303483
10824	255	0.303507
11014	255	0.303648
11008	255	0.303671
8666	255	0.303722
8652	255	0.303853
9810	255	0.303863
9824	255	0.303971
9825	255	0.304021
9829	255	0.304065
9820	255	0.304168
8658	255	0.304192
11052	255	0.304831
8984	255	0.304968
10650	255	0.306365
10710	255	0.309371
9262	255	0.309569
8773	255	0.309705
10781	255	0.309728
10780	255	0.309808
10785	255	0.309892
10793	255	0.30991
9269	255	0.309945
10684	255	0.309998
10797	255	0.310016
9267	255	0.310032
10748	255	0.310093
10801	255	0.310096
10799	255	0.310115
10717	255	0.310142
10789	255	0.310267
10755	255	0.310272
10476	255	0.310278
10764	255	0.310309
10719	255	0.310389
9277	255	0.310425
10739	255	0.310457
10740	255	0.310541
10746	255	0.310585
9284	255	0.31094
10775	255	0.310957
10776	255	0.310981
10778	255	0.311042
10773	255	0.31191
10765	255	0.311993
10736	255	0.312207
10726	255	0.312397
9285	255	0.312874
9257	255	0.313287
8966	255	0.313842
9012	255	0.313895
11090	255	0.33182
9276	255	0.33254
9286	255	0.332723
9244	255	0.332759
9292	255	0.332947
9288	255	0.332971
11204	255	0.334218
11209	255	0.334242
11211	255	0.334312
9312	255	0.334634
11126	255	0.334722
9310	255	0.334787
9321	255	0.334874
9306	255	0.334933
9326	255	0.334998
9330	255	0.335162
9416	255	0.33531
9471	255	0.3355
9472	255	0.33551
9473	255	0.33562
9474	255	0.335693
9475	255	0.335696
9478	255	0.335743
9476	255	0.335846
9494	255	0.335974
9493	255	0.336144
9491	255	0.336179
9500	255	0.336443
9506	255	0.336558
9513	255	0.336586
9511	255	0.336592
9502	255	0.336651
9514	255	0.336779
9515	255	0.336793
9512	255	0.336795
9516	255	0.336919
9520	255	0.337087
9533	255	0.337129
10806	255	0.337305
9538	255	0.337324
9532	255	0.337399
10819	255	0.337516
10794	255	0.337592
9545	255	0.337643
10809	255	0.33775
10825	255	0.337753
9550	255	0.337782
9559	255	0.337803
10818	255	0.33787
9561	255	0.337955
10832	255	0.338208
10860	255	0.338233
10843	255	0.338254
10803	255	0.338348
10836	255	0.338349
10840	255	0.338434
10846	255	0.338558
10831	255	0.338608
10851	255	0.338804
10894	255	0.338806
10849	255	0.338906
10850	255	0.340295
10009	255	0.348806
10012	255	0.348864
9995	255	0.348955
10018	255	0.348973
10013	255	0.34923
10006	255	0.350071
10341	255	0.355217
10378	255	0.35533
11165	255	0.363363
11187	255	0.36403
10207	255	0.364126
10223	255	0.364206
10225	255	0.364395
11179	255	0.364464
10216	255	0.364553
10213	255	0.364684
10250	255	0.3648
10222	255	0.364958
11321	255	0.36574
10248	255	0.36735
10253	255	0.367382
9590	255	0.367516
10285	255	0.367528
9602	255	0.367564
9604	255	0.367617
9597	255	0.367781
10952	255	0.367835
10304	255	0.368214
10944	255	0.368288
10940	255	0.36831
10953	255	0.368342
10964	255	0.368525
10826	255	0.368579
10308	255	0.368607
9168	255	0.368679
9143	255	0.368804
10942	255	0.368852
9127	255	0.3689
10923	255	0.368947
10955	255	0.369285
10416	255	0.369926
10423	255	0.370011
10912	255	0.37046
9891	255	0.37141
9907	255	0.371586
9921	255	0.371631
9906	255	0.371633
9904	255	0.371658
9922	255	0.371658
9923	255	0.371677
9908	255	0.371704
9903	255	0.371737
9912	255	0.371918
9947	255	0.371942
9951	255	0.371953
10366	255	0.372061
9932	255	0.372087
10356	255	0.372119
10364	255	0.372129
10360	255	0.372154
10392	255	0.372172
10358	255	0.37219
10371	255	0.372194
9888	255	0.372202
10369	255	0.37221
10373	255	0.372262
10374	255	0.372331
10336	255	0.372352
10386	255	0.372364
10391	255	0.372401
9941	255	0.372422
10379	255	0.372445
9945	255	0.372472
10344	255	0.372502
9910	255	0.372529
9928	255	0.372556
10383	255	0.37258
10337	255	0.372642
10404	255	0.372658
10409	255	0.372679
10380	255	0.372693
9878	255	0.372697
9881	255	0.37274
10388	255	0.372769
9955	255	0.372796
9957	255	0.372879
9962	255	0.3729
9883	255	0.372951
9966	255	0.372957
9889	255	0.373028
9963	255	0.373102
9893	255	0.373104
9885	255	0.373136
9984	255	0.37322
9895	255	0.373294
9896	255	0.373337
9897	255	0.373398
9901	255	0.373458
9899	255	0.373518
9900	255	0.373532
9731	255	0.373565
9714	255	0.373618
9716	255	0.373652
9712	255	0.373697
10003	255	0.373705
9729	255	0.373714
9715	255	0.373735
9727	255	0.373788
9719	255	0.373815
9723	255	0.373823
9641	255	0.373862
9788	255	0.3742
9770	255	0.374237
9804	255	0.37429
9767	255	0.374547
9779	255	0.374615
9780	255	0.374699
9775	255	0.37489
9866	255	0.375024
9865	255	0.375042
9853	255	0.375053
9868	255	0.375083
9640	255	0.375192
9873	255	0.375206
9877	255	0.375227
9880	255	0.375276
9882	255	0.375399
10020	255	0.384335
10016	255	0.384454
11288	255	0.39272
11243	255	0.392847
10326	255	0.393834
10307	255	0.393939
10303	255	0.394261
10333	255	0.39443
10351	255	0.394475
10309	255	0.394575
10327	255	0.394607
10335	255	0.394651
10353	255	0.394669
10046	255	0.394699
10117	255	0.394813
10315	255	0.394878
10049	255	0.394883
10116	255	0.394938
10400	255	0.394975
10124	255	0.395058
9746	255	0.395122
10051	255	0.39514
10052	255	0.395145
10405	255	0.395151
9676	255	0.39517
10317	255	0.395196
10410	255	0.395233
10427	255	0.395255
10322	255	0.395275
10408	255	0.395286
10126	255	0.395291
9748	255	0.395319
9643	255	0.39533
10053	255	0.395363
10355	255	0.395373
10430	255	0.39541
10357	255	0.395511
10075	255	0.395604
9638	255	0.395669
9760	255	0.395699
10419	255	0.395707
11244	255	0.395786
9827	255	0.395805
9759	255	0.395816
9764	255	0.395818
9639	255	0.395867
10929	255	0.395939
11003	255	0.395986
10968	255	0.395997
10059	255	0.396075
10331	255	0.396078
9874	255	0.396079
10311	255	0.39613
10433	255	0.396137
10071	255	0.396233
10359	255	0.396511
10072	255	0.396548
10403	255	0.396569
10325	255	0.396572
10332	255	0.396592
10330	255	0.39666
9066	255	0.396705
10070	255	0.396805
10060	255	0.396897
11046	255	0.397227
10008	255	0.39735
11053	255	0.397356
10130	255	0.397419
10132	255	0.397522
11083	255	0.397524
10067	255	0.397535
11058	255	0.397623
11077	255	0.397652
10137	255	0.39771
10141	255	0.397711
11065	255	0.397785
10129	255	0.39779
11067	255	0.397861
9946	255	0.397862
10144	255	0.397896
10484	255	0.398002
10485	255	0.398002
10459	255	0.39812
10456	255	0.398168
10464	255	0.398173
11094	255	0.39822
10444	255	0.398258
10469	255	0.398298
11101	255	0.398475
10578	255	0.398497
10140	255	0.398713
10930	255	0.398765
10149	255	0.398776
8782	255	0.398988
10157	255	0.399144
10969	255	0.399371
9108	255	0.399442
10161	255	0.399711
10162	255	0.400223
9059	255	0.40061
9026	255	0.400776
9096	255	0.400813
10227	255	0.401121
10345	255	0.40131
10217	255	0.401324
10334	255	0.401371
10384	255	0.401371
10370	255	0.401474
10389	255	0.401512
10401	255	0.401629
10377	255	0.401659
10372	255	0.40178
9067	255	0.401805
10362	255	0.401805
9084	255	0.401862
8835	255	0.401889
10387	255	0.402307
10406	255	0.402333
10385	255	0.402546
10414	255	0.402598
10436	255	0.402802
10452	255	0.402927
10453	255	0.402937
10584	255	0.402983
10411	255	0.402988
10446	255	0.4031
10481	255	0.403114
10454	255	0.403262
10571	255	0.403381
10465	255	0.403439
10588	255	0.403596
10589	255	0.403718
10567	255	0.403749
10586	255	0.403796
10590	255	0.403879
10575	255	0.403935
10577	255	0.404006
10587	255	0.404009
10448	255	0.404043
10636	255	0.404068
10576	255	0.404079
10483	255	0.404082
10442	255	0.404089
10457	255	0.404098
10438	255	0.40412
10415	255	0.404121
10450	255	0.404167
10440	255	0.404172
10492	255	0.404172
10471	255	0.40424
10489	255	0.404269
10506	255	0.404269
10466	255	0.404303
10472	255	0.404358
10467	255	0.404382
10468	255	0.404387
10518	255	0.40456
10363	255	0.406663
10368	255	0.406722
10381	255	0.406748
10342	255	0.406789
10367	255	0.406853
10365	255	0.406855
10393	255	0.406885
10399	255	0.406948
10396	255	0.406958
10375	255	0.40697
10382	255	0.407188
10376	255	0.40729
9983	255	0.409403
9980	255	0.409412
9930	255	0.409532
9933	255	0.409608
9993	255	0.409657
9973	255	0.409675
9938	255	0.409691
9939	255	0.41031
9642	255	0.412714
9728	255	0.41319
9847	255	0.413202
9793	255	0.413211
9848	255	0.41329
9857	255	0.413329
9855	255	0.413367
9876	255	0.413407
9856	255	0.413421
9111	255	0.420847
10272	255	0.421543
10268	255	0.421665
10301	255	0.421735
10265	255	0.421814
10273	255	0.421841
10277	255	0.422007
10290	255	0.422016
10314	255	0.42222
10275	255	0.422269
10316	255	0.422316
10306	255	0.42234
11081	255	0.422606
8873	255	0.422687
11072	255	0.42273
8883	255	0.422835
8825	255	0.422913
11114	255	0.422958
11136	255	0.422981
11118	255	0.422988
11091	255	0.423105
8885	255	0.423181
8902	255	0.423307
8887	255	0.423329
8901	255	0.423435
8907	255	0.423471
8888	255	0.423489
8889	255	0.423491
8905	255	0.423568
8904	255	0.423576
8921	255	0.423726
8895	255	0.423867
8920	255	0.424004
8896	255	0.424016
8893	255	0.424036
10495	255	0.424066
8788	255	0.424087
10516	255	0.42453
11099	255	0.424657
10517	255	0.424669
10515	255	0.424679
10500	255	0.42469
10519	255	0.424746
10501	255	0.424786
11147	255	0.424799
9413	255	0.424805
11093	255	0.424831
11148	255	0.424865
9420	255	0.424945
9418	255	0.424974
10600	255	0.424975
10520	255	0.424979
9419	255	0.425019
11163	255	0.42507
9423	255	0.425095
11167	255	0.425108
11115	255	0.425129
10502	255	0.425198
11122	255	0.425205
9432	255	0.425222
9429	255	0.425305
11184	255	0.425326
9431	255	0.425337
10503	255	0.425359
11183	255	0.42537
9439	255	0.425412
10529	255	0.425427
9443	255	0.425474
11120	255	0.425534
